,date,count
0,2013-10-23 00:00:00,6620
1,2014-02-18 00:00:00,28463
2,2015-04-20 00:00:00,46724
3,2015-05-26 00:00:00,44578
4,2015-06-23 00:00:00,47747
5,2016-04-29 00:00:00,55564
6,2016-05-04 00:00:00,46171
7,2014-04-10 00:00:00,41799
8,2014-04-14 00:00:00,34652
9,2014-06-10 00:00:00,36966
10,2015-03-31 00:00:00,51135
11,2016-02-15 00:00:00,44269
12,2013-12-08 00:00:00,17096
13,2014-07-03 00:00:00,46097
14,2014-11-24 00:00:00,41439
15,2015-12-13 00:00:00,58207
16,2013-12-21 00:00:00,25938
17,2014-09-16 00:00:00,39691
18,2015-09-04 00:00:00,54097
19,2015-11-09 00:00:00,41147
20,2014-05-23 00:00:00,52898
21,2016-04-08 00:00:00,58818
22,2014-05-08 00:00:00,43893
23,2014-06-12 00:00:00,44133
24,2013-08-23 00:00:00,362
25,2013-10-10 00:00:00,4307
26,2013-12-06 00:00:00,20582
27,2015-03-12 00:00:00,54166
28,2016-01-04 00:00:00,43740
29,2014-07-22 00:00:00,35244
30,2014-09-22 00:00:00,37175
31,2014-12-04 00:00:00,50680
32,2015-08-27 00:00:00,44111
33,2016-02-13 00:00:00,70652
34,2013-09-23 00:00:00,1975
35,2014-01-06 00:00:00,20606
36,2014-02-08 00:00:00,45302
37,2014-04-03 00:00:00,41881
38,2014-10-31 00:00:00,64013
39,2015-06-14 00:00:00,63489
40,2015-07-07 00:00:00,41372
41,2015-09-29 00:00:00,1163
42,2015-12-31 00:00:00,66960
43,2015-06-11 00:00:00,54240
44,2013-11-20 00:00:00,13349
45,2013-12-12 00:00:00,19457
46,2014-01-07 00:00:00,22719
47,2015-03-03 00:00:00,9136
48,2016-05-03 00:00:00,44265
49,2013-10-31 00:00:00,9310
50,2014-03-15 00:00:00,53583
51,2015-04-17 00:00:00,60053
52,2013-11-18 00:00:00,11524
53,2014-01-25 00:00:00,36265
54,2014-04-23 00:00:00,40064
55,2015-03-04 00:00:00,51819
56,2015-05-01 00:00:00,66187
57,2015-09-12 00:00:00,66962
58,2015-10-02 00:00:00,62039
59,2016-06-23 00:00:00,45032
60,2013-12-04 00:00:00,15270
61,2013-12-25 00:00:00,17176
62,2014-01-15 00:00:00,23993
63,2014-04-29 00:00:00,39995
64,2014-06-02 00:00:00,35308
65,2014-06-24 00:00:00,36333
66,2014-11-19 00:00:00,48193
67,2015-03-19 00:00:00,52935
68,2015-04-24 00:00:00,65736
69,2016-01-09 00:00:00,56861
70,2016-04-19 00:00:00,41894
71,2015-01-09 00:00:00,53591
72,2015-03-01 00:00:00,53354
73,2014-11-10 00:00:00,39507
74,2015-04-26 00:00:00,62190
75,2014-09-05 00:00:00,50318
76,2015-03-06 00:00:00,63909
77,2015-03-24 00:00:00,45811
78,2015-11-16 00:00:00,41105
79,2016-05-21 00:00:00,67758
80,2016-06-17 00:00:00,52327
81,2014-02-19 00:00:00,31804
82,2014-09-11 00:00:00,42897
83,2014-10-10 00:00:00,53707
84,2014-12-16 00:00:00,47794
85,2015-12-04 00:00:00,59348
86,2016-06-30 00:00:00,42425
87,2013-09-25 00:00:00,2319
88,2013-11-24 00:00:00,14769
89,2014-02-12 00:00:00,37638
90,2014-08-31 00:00:00,48407
91,2014-09-29 00:00:00,37704
92,2015-06-12 00:00:00,62623
93,2015-07-25 00:00:00,66372
94,2016-02-05 00:00:00,55521
95,2016-05-26 00:00:00,47878
96,2014-07-23 00:00:00,38895
97,2014-08-27 00:00:00,37955
98,2014-10-03 00:00:00,52515
99,2015-05-08 00:00:00,63470
100,2015-07-11 00:00:00,65403
101,2015-11-03 00:00:00,40379
102,2016-01-13 00:00:00,45839
103,2013-08-25 00:00:00,377
104,2014-01-18 00:00:00,34987
105,2014-08-14 00:00:00,39879
106,2014-12-28 00:00:00,43055
107,2015-06-04 00:00:00,53318
108,2015-07-13 00:00:00,7903
109,2015-07-26 00:00:00,55769
110,2016-05-29 00:00:00,50109
111,2013-12-24 00:00:00,24222
112,2014-07-14 00:00:00,37208
113,2015-02-23 00:00:00,53011
114,2013-09-29 00:00:00,2715
115,2014-08-23 00:00:00,53662
116,2015-02-12 00:00:00,54720
117,2015-08-04 00:00:00,42253
118,2016-04-25 00:00:00,37857
119,2013-09-26 00:00:00,2561
120,2013-10-03 00:00:00,3457
121,2014-04-15 00:00:00,38835
122,2014-11-08 00:00:00,67691
123,2015-07-28 00:00:00,42197
124,2015-08-13 00:00:00,47162
125,2015-09-07 00:00:00,42077
126,2015-11-29 00:00:00,47662
127,2013-09-30 00:00:00,2427
128,2013-12-05 00:00:00,17041
129,2014-11-02 00:00:00,55276
130,2015-02-27 00:00:00,68585
131,2015-04-15 00:00:00,48469
132,2015-06-20 00:00:00,67109
